City,Date,PM2_5,PM10,NO2,SO2
Hanumangarh,18-12-2025 14:00:00,78.0,147.0,28.0,4.0
Jhalawar,18-12-2025 14:00:00,142.0,98.0,27.0,18.0
Koppal,18-12-2025 14:00:00,23.0,47.0,33.0,21.0
Delhi,18-12-2025 14:00:00,363.175,297.2,68.07692307692308,19.387096774193548
Visakhapatnam,18-12-2025 14:00:00,298.0,258.0,140.0,33.0
Korba,18-12-2025 14:00:00,70.0,91.0,23.5,8.5
Bhagalpur,18-12-2025 14:00:00,164.5,142.5,8.0,45.0
Pimpri-Chinchwad,18-12-2025 14:00:00,239.66666666666666,167.0,84.66666666666667,2.5
Firozabad,18-12-2025 14:00:00,63.0,86.0,17.0,21.0
Srinagar,18-12-2025 14:00:00,200.5,181.0,17.0,3.5
Byasanagar,18-12-2025 14:00:00,311.0,173.0,24.0,10.0
Patna,18-12-2025 14:00:00,161.25,127.0,34.0,10.75
Nalbari,18-12-2025 14:00:00,150.0,114.0,14.0,8.0
Banswara,18-12-2025 14:00:00,92.0,111.0,42.0,9.0
Bhiwani,18-12-2025 14:00:00,132.0,89.0,31.0,12.0
Jhansi,18-12-2025 14:00:00,37.0,49.0,6.0,15.0
Manguraha,18-12-2025 14:00:00,162.0,149.0,6.0,17.0
Chamarajanagar,18-12-2025 14:00:00,33.0,45.0,22.0,4.0
Cuttack,18-12-2025 14:00:00,285.0,202.0,68.0,20.0
Patiala,18-12-2025 14:00:00,80.0,124.0,18.0,8.0
Manesar,18-12-2025 14:00:00,295.0,177.0,82.0,14.0
Bareilly,18-12-2025 14:00:00,60.5,91.0,5.5,18.5
Sagar,18-12-2025 14:00:00,81.5,87.5,36.0,6.0
Bengaluru,18-12-2025 14:00:00,74.8,97.0,25.166666666666668,11.23076923076923
Gurugram,18-12-2025 14:00:00,264.0,214.0,16.333333333333332,9.0
Hisar,18-12-2025 14:00:00,,,,
Sikar,18-12-2025 14:00:00,197.0,211.0,64.0,7.0
Rohtak,18-12-2025 14:00:00,,,,
Kolkata,18-12-2025 14:00:00,179.85714285714286,136.71428571428572,48.0,10.0
Panchgaon,18-12-2025 14:00:00,151.0,127.0,15.0,9.0
Guwahati,18-12-2025 14:00:00,140.33333333333334,114.0,9.0,31.5
