City,Date,PM2_5,PM10,NO2,SO2,AQI,AQI_Category
Agartala,2025-12-18T14:00:00.000+05:30,31.0,63.0,13.0,8.0,63.0,Satisfactory
Agra,2025-12-18T14:00:00.000+05:30,150.0,145.6,21.33,26.0,150.0,Moderate
Ahmedabad,2025-12-18T14:00:00.000+05:30,115.57,124.38,55.14,25.0,124.38,Moderate
Ahmednagar,2025-12-18T14:00:00.000+05:30,88.0,103.0,21.0,4.0,103.0,Moderate
Aizawl,2025-12-18T14:00:00.000+05:30,38.0,37.0,,14.0,38.0,Good
Ajmer,2025-12-18T14:00:00.000+05:30,77.0,117.0,18.0,19.0,117.0,Moderate
Akola,2025-12-18T14:00:00.000+05:30,78.0,89.0,39.0,11.0,89.0,Satisfactory
Alwar,2025-12-18T14:00:00.000+05:30,58.0,85.0,69.0,35.0,85.0,Satisfactory
Amaravati,2025-12-18T14:00:00.000+05:30,150.0,154.0,61.0,11.0,154.0,Moderate
Ambala,2025-12-18T14:00:00.000+05:30,159.0,115.0,22.0,31.0,159.0,Moderate
Amravati,2025-12-18T14:00:00.000+05:30,100.0,109.0,36.0,25.5,109.0,Moderate
Amritsar,2025-12-18T14:00:00.000+05:30,148.0,124.0,17.0,20.0,148.0,Moderate
Anantapur,2025-12-18T14:00:00.000+05:30,94.0,85.0,22.0,11.0,94.0,Satisfactory
Angul,2025-12-18T14:00:00.000+05:30,314.0,180.0,40.0,7.0,314.0,Very Poor
Ankleshwar,2025-12-18T14:00:00.000+05:30,199.0,171.0,26.0,34.0,199.0,Moderate
Araria,2025-12-18T14:00:00.000+05:30,157.0,101.0,15.0,11.0,157.0,Moderate
Arrah,2025-12-18T14:00:00.000+05:30,75.0,82.0,7.0,10.0,82.0,Satisfactory
Asansol,2025-12-18T14:00:00.000+05:30,235.25,131.0,23.0,12.25,235.25,Poor
Aurangabad,2025-12-18T14:00:00.000+05:30,107.67,151.0,31.67,12.67,151.0,Moderate
Baddi,2025-12-18T14:00:00.000+05:30,337.0,281.0,56.0,60.0,337.0,Very Poor
Badlapur,2025-12-18T14:00:00.000+05:30,115.0,131.0,27.0,9.0,131.0,Moderate
Baghpat,2025-12-18T14:00:00.000+05:30,,,,,,Severe
Bahadurgarh,2025-12-18T14:00:00.000+05:30,292.0,177.0,13.0,7.0,292.0,Poor
Balasore,2025-12-18T14:00:00.000+05:30,,155.0,26.0,18.0,155.0,Moderate
Ballabgarh,2025-12-18T14:00:00.000+05:30,296.0,227.0,20.0,7.0,296.0,Poor
Banswara,2025-12-18T14:00:00.000+05:30,92.0,111.0,42.0,9.0,111.0,Moderate
Baran,2025-12-18T14:00:00.000+05:30,43.0,119.0,45.0,6.0,119.0,Moderate
Barbil,2025-12-18T14:00:00.000+05:30,269.0,173.0,29.0,13.0,269.0,Poor
Bareilly,2025-12-18T14:00:00.000+05:30,60.5,91.0,5.5,18.5,91.0,Satisfactory
Baripada,2025-12-18T14:00:00.000+05:30,214.0,131.0,32.0,14.0,214.0,Poor
Barmer,2025-12-18T14:00:00.000+05:30,81.0,122.0,43.0,9.0,122.0,Moderate
Barrackpore,2025-12-18T14:00:00.000+05:30,175.0,127.0,28.0,10.0,175.0,Moderate
Bathinda,2025-12-18T14:00:00.000+05:30,129.0,86.0,12.0,15.0,129.0,Moderate
Begusarai,2025-12-18T14:00:00.000+05:30,143.0,140.0,14.0,61.0,143.0,Moderate
Belapur,2025-12-18T14:00:00.000+05:30,40.0,54.0,23.0,16.0,54.0,Satisfactory
Belgaum,2025-12-18T14:00:00.000+05:30,60.0,78.0,57.0,22.0,78.0,Satisfactory
Bengaluru,2025-12-18T14:00:00.000+05:30,74.8,97.0,25.17,11.23,97.0,Satisfactory
Bettiah,2025-12-18T14:00:00.000+05:30,64.0,69.0,8.0,29.0,69.0,Satisfactory
Bhagalpur,2025-12-18T14:00:00.000+05:30,164.5,142.5,8.0,45.0,164.5,Moderate
Bharatpur,2025-12-18T14:00:00.000+05:30,137.0,127.0,46.0,4.0,137.0,Moderate
Bhilai,2025-12-18T14:00:00.000+05:30,61.67,67.0,37.67,11.0,67.0,Satisfactory
Bhilwara,2025-12-18T14:00:00.000+05:30,175.0,147.0,50.0,25.0,175.0,Moderate
Bhiwadi,2025-12-18T14:00:00.000+05:30,250.5,200.5,58.0,17.0,250.5,Poor
Bhiwandi,2025-12-18T14:00:00.000+05:30,125.0,146.0,31.0,10.0,146.0,Moderate
Bhiwani,2025-12-18T14:00:00.000+05:30,132.0,89.0,31.0,12.0,132.0,Moderate
Bhopal,2025-12-18T14:00:00.000+05:30,138.33,145.67,60.67,10.0,145.67,Moderate
Bhubaneswar,2025-12-18T14:00:00.000+05:30,301.0,202.5,53.5,24.5,301.0,Very Poor
Bihar Sharif,2025-12-18T14:00:00.000+05:30,235.0,128.0,9.0,10.0,235.0,Poor
Bikaner,2025-12-18T14:00:00.000+05:30,173.0,223.0,82.0,15.0,223.0,Poor
Bilaspur,2025-12-18T14:00:00.000+05:30,72.0,83.0,28.0,15.0,83.0,Satisfactory
Bileipada,2025-12-18T14:00:00.000+05:30,281.0,191.0,7.0,10.0,281.0,Poor
Boisar,2025-12-18T14:00:00.000+05:30,,,,,,Severe
Brajrajnagar,2025-12-18T14:00:00.000+05:30,96.0,111.0,16.0,19.0,111.0,Moderate
Bulandshahr,2025-12-18T14:00:00.000+05:30,203.0,181.0,58.0,24.0,203.0,Poor
Bundi,2025-12-18T14:00:00.000+05:30,137.0,89.0,36.0,7.0,137.0,Moderate
Buxar,2025-12-18T14:00:00.000+05:30,,,,,,Severe
Byasanagar,2025-12-18T14:00:00.000+05:30,311.0,173.0,24.0,10.0,311.0,Very Poor
Byrnihat,2025-12-18T14:00:00.000+05:30,166.0,98.0,7.0,7.0,166.0,Moderate
Chamarajanagar,2025-12-18T14:00:00.000+05:30,33.0,45.0,22.0,4.0,45.0,Good
Chandigarh,2025-12-18T14:00:00.000+05:30,269.33,150.67,53.0,10.33,269.33,Poor
Chandrapur,2025-12-18T14:00:00.000+05:30,96.0,108.0,34.0,9.0,108.0,Moderate
Charkhi Dadri,2025-12-18T14:00:00.000+05:30,163.0,125.0,15.0,10.0,163.0,Moderate
Chennai,2025-12-18T14:00:00.000+05:30,77.29,91.71,11.75,10.71,91.71,Satisfactory
Chhal,2025-12-18T14:00:00.000+05:30,70.0,77.0,11.0,17.0,77.0,Satisfactory
Chhapra,2025-12-18T14:00:00.000+05:30,68.0,77.0,,45.0,77.0,Satisfactory
Chikkamagaluru,2025-12-18T14:00:00.000+05:30,46.0,54.0,20.0,4.0,54.0,Satisfactory
Chittoor,2025-12-18T14:00:00.000+05:30,162.0,117.0,36.0,9.0,162.0,Moderate
Chittorgarh,2025-12-18T14:00:00.000+05:30,109.0,121.0,44.0,15.0,121.0,Moderate
Churu,2025-12-18T14:00:00.000+05:30,215.0,242.0,59.0,7.0,242.0,Poor
Coimbatore,2025-12-18T14:00:00.000+05:30,42.0,44.0,11.0,22.0,44.0,Good
Cuddalore,2025-12-18T14:00:00.000+05:30,91.0,,14.0,20.0,91.0,Satisfactory
Cuttack,2025-12-18T14:00:00.000+05:30,285.0,202.0,68.0,20.0,285.0,Poor
Damoh,2025-12-18T14:00:00.000+05:30,27.0,33.0,,10.0,33.0,Good
Dausa,2025-12-18T14:00:00.000+05:30,107.0,133.0,68.0,5.0,133.0,Moderate
Davanagere,2025-12-18T14:00:00.000+05:30,68.0,,30.0,6.0,68.0,Satisfactory
Dehradun,2025-12-18T14:00:00.000+05:30,260.0,114.0,3.0,2.0,260.0,Poor
Delhi,2025-12-18T14:00:00.000+05:30,363.18,297.2,68.08,19.39,363.18,Very Poor
Dewas,2025-12-18T14:00:00.000+05:30,62.0,90.0,7.0,50.0,90.0,Satisfactory
Dhanbad,2025-12-18T14:00:00.000+05:30,186.0,185.0,60.0,,186.0,Moderate
Dharuhera,2025-12-18T14:00:00.000+05:30,,,,,,Severe
Dharwad,2025-12-18T14:00:00.000+05:30,,80.0,,3.0,80.0,Satisfactory
Dholpur,2025-12-18T14:00:00.000+05:30,,,49.0,,49.0,Good
Dhule,2025-12-18T14:00:00.000+05:30,131.0,87.0,23.0,12.0,131.0,Moderate
Dungarpur,2025-12-18T14:00:00.000+05:30,154.0,116.0,29.0,7.0,154.0,Moderate
Durgapur,2025-12-18T14:00:00.000+05:30,152.33,126.33,34.0,16.0,152.33,Moderate
Faridabad,2025-12-18T14:00:00.000+05:30,231.33,177.67,31.33,6.0,231.33,Poor
Fatehabad,2025-12-18T14:00:00.000+05:30,168.0,167.0,19.0,10.0,168.0,Moderate
Firozabad,2025-12-18T14:00:00.000+05:30,63.0,86.0,17.0,21.0,86.0,Satisfactory
Gandhinagar,2025-12-18T14:00:00.000+05:30,98.67,110.0,20.67,9.67,110.0,Moderate
Gaya,2025-12-18T14:00:00.000+05:30,162.0,179.0,7.0,14.5,179.0,Moderate
Ghaziabad,2025-12-18T14:00:00.000+05:30,333.25,286.5,68.25,15.0,333.25,Very Poor
Gorakhpur,2025-12-18T14:00:00.000+05:30,80.0,100.0,11.0,36.0,100.0,Satisfactory
Greater Noida,2025-12-18T14:00:00.000+05:30,331.0,262.5,62.0,18.0,331.0,Very Poor
Gummidipoondi,2025-12-18T14:00:00.000+05:30,258.0,169.0,3.0,,258.0,Poor
Gurugram,2025-12-18T14:00:00.000+05:30,264.0,214.0,16.33,9.0,264.0,Poor
Guwahati,2025-12-18T14:00:00.000+05:30,140.33,114.0,9.0,31.5,140.33,Moderate
Gwalior,2025-12-18T14:00:00.000+05:30,174.67,129.33,52.5,12.33,174.67,Moderate
Hajipur,2025-12-18T14:00:00.000+05:30,152.0,90.0,45.0,8.0,152.0,Moderate
Haldia,2025-12-18T14:00:00.000+05:30,293.0,162.0,25.0,16.0,293.0,Poor
Hanumangarh,2025-12-18T14:00:00.000+05:30,78.0,147.0,28.0,4.0,147.0,Moderate
Hapur,2025-12-18T14:00:00.000+05:30,211.0,127.0,13.0,21.0,211.0,Poor
Haveri,2025-12-18T14:00:00.000+05:30,,,,,,Severe
Hisar,2025-12-18T14:00:00.000+05:30,,,,,,Severe
Howrah,2025-12-18T14:00:00.000+05:30,217.2,162.6,28.4,11.2,217.2,Poor
Hubballi,2025-12-18T14:00:00.000+05:30,44.0,60.0,11.0,1.0,60.0,Satisfactory
Hyderabad,2025-12-18T14:00:00.000+05:30,74.6,97.25,18.33,14.17,97.25,Satisfactory
Indore,2025-12-18T14:00:00.000+05:30,92.2,76.6,29.2,27.6,92.2,Satisfactory
Jabalpur,2025-12-18T14:00:00.000+05:30,67.25,70.75,34.25,11.0,70.75,Satisfactory
Jaipur,2025-12-18T14:00:00.000+05:30,182.83,173.17,78.83,13.83,182.83,Moderate
Jaisalmer,2025-12-18T14:00:00.000+05:30,78.0,165.0,51.0,5.0,165.0,Moderate
Jalandhar,2025-12-18T14:00:00.000+05:30,157.0,158.0,34.0,19.0,158.0,Moderate
Jalgaon,2025-12-18T14:00:00.000+05:30,145.0,118.0,12.0,6.0,145.0,Moderate
Jalna,2025-12-18T14:00:00.000+05:30,100.0,109.0,17.0,12.0,109.0,Moderate
Jalore,2025-12-18T14:00:00.000+05:30,156.0,167.0,63.0,4.0,167.0,Moderate
Jhalawar,2025-12-18T14:00:00.000+05:30,142.0,98.0,27.0,18.0,142.0,Moderate
Jhansi,2025-12-18T14:00:00.000+05:30,37.0,49.0,6.0,15.0,49.0,Good
Jhunjhunu,2025-12-18T14:00:00.000+05:30,135.0,215.0,63.0,7.0,215.0,Poor
Jind,2025-12-18T14:00:00.000+05:30,185.0,118.0,45.0,13.0,185.0,Moderate
Jodhpur,2025-12-18T14:00:00.000+05:30,97.2,122.6,41.6,7.2,122.6,Moderate
Kadapa,2025-12-18T14:00:00.000+05:30,79.0,78.0,26.0,13.0,79.0,Satisfactory
Kaithal,2025-12-18T14:00:00.000+05:30,110.0,121.0,31.0,32.0,121.0,Moderate
Kalaburagi,2025-12-18T14:00:00.000+05:30,40.0,52.0,14.0,3.0,52.0,Satisfactory
Kalyan,2025-12-18T14:00:00.000+05:30,129.0,162.0,33.0,20.0,162.0,Moderate
Kannur,2025-12-18T14:00:00.000+05:30,58.0,65.0,17.0,5.0,65.0,Satisfactory
Kanpur,2025-12-18T14:00:00.000+05:30,122.33,106.67,20.67,17.33,122.33,Moderate
