country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","18-12-2025 14:00:00",27.103358,93.679645,SO2,NA,NA,NA
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","18-12-2025 14:00:00",26.071318,91.87488,PM2.5,97,334,166
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","18-12-2025 14:00:00",26.071318,91.87488,PM10,72,170,98
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","18-12-2025 14:00:00",26.071318,91.87488,CO,42,63,53
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","18-12-2025 14:00:00",26.071318,91.87488,OZONE,14,40,22
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","18-12-2025 14:00:00",26.10887,91.589544,NO2,12,20,15
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","18-12-2025 14:00:00",26.187500,91.744194,PM10,27,126,81
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","18-12-2025 14:00:00",26.181742,91.78063,NO2,3,3,3
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","18-12-2025 14:00:00",26.181742,91.78063,SO2,34,37,35
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","18-12-2025 14:00:00",25.42742023,86.13886079,NO2,10,17,14
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","18-12-2025 14:00:00",25.42742023,86.13886079,CO,34,76,51
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","18-12-2025 14:00:00",26.80365,84.51954,PM2.5,18,163,64
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","18-12-2025 14:00:00",26.80365,84.51954,NO2,8,9,8
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","18-12-2025 14:00:00",25.251013,86.989001,NH3,1,1,1
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","18-12-2025 14:00:00",25.251013,86.989001,CO,12,16,13
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","18-12-2025 14:00:00",25.265194,87.012947,NO2,6,8,7
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","18-12-2025 14:00:00",25.204762,85.514960,PM10,94,167,128
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","18-12-2025 14:00:00",16.5150833,80.5181667,SO2,1,85,11
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","18-12-2025 14:00:00",16.5150833,80.5181667,OZONE,1,64,37
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","18-12-2025 14:00:00",14.675886,77.593027,PM2.5,35,163,94
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","18-12-2025 14:00:00",14.675886,77.593027,NO2,18,23,22
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","18-12-2025 14:00:00",13.204880,79.097889,OZONE,48,55,52
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","18-12-2025 14:00:00",14.465052,78.824187,PM10,55,122,78
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","18-12-2025 14:00:00",14.465052,78.824187,SO2,10,18,13
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","18-12-2025 14:00:00",16.509717,80.612222,SO2,7,17,9
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","18-12-2025 14:00:00",17.72,83.3,PM10,124,442,258
